アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
パブロフ簿記２級商業簿記,yudai yoseda,Education,4.78275,5298,800.0,2011-10-04,2026-04-03,日商簿記/簿記,○,○,○,○,○,,,,,○,,,,○,,,,
Cake公式アプリ - 英語＆韓国語学習,Cake Company Limited,Education,4.73518,5245,0.0,2018-04-11,2026-07-29,英単語,○,,,,,,,,,,,,,,,,,
イルカの暗記ノート,BrainApp LLC,Education,4.48543,5187,0.0,2020-01-19,2026-07-26,medu4 医師国家試験/フラッシュカード/国家資格/暗記,○,,○,,,,,,,,,,,,,,,
中学・高校の国語文法,"StudySwitch, Inc.",Education,4.69223,5176,0.0,2017-10-06,2025-10-15,公務員試験,,,○,,,,,,,,,,,,,,,
漢検4級 - 漢字検定問題集,Trips LLC,Education,4.5688,5167,0.0,2016-01-26,2025-12-12,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,
社労士 秒トレ：2026年度（令和8年度）法改正対応,GINOAPPS LLC.,Education,4.66221,5083,0.0,2020-11-10,2026-05-26,スキマ時間 学習/公務員試験/司法書士/学習記録,○,○,,○,,,,,,,,,,,,,,
パブロフ簿記３級,yudai yoseda,Education,4.76529,5036,800.0,2011-09-21,2026-04-03,日商簿記/簿記,○,○,○,○,○,,,,,○,,,,○,,,,
EnglishCentral - 英語学習アプリ,EnglishCentral Inc.,Education,3.81479,4962,0.0,2014-11-26,2026-07-21,TOEFL/英検,,,,,,,,,,,,,,,,,,
Migii JLPT: JLPT N5-N1 の試験対策,Linh Nguyen,Education,4.61564,4933,0.0,2019-05-15,2026-07-29,日本語能力試験,○,○,○,,,,,,,○,○,○,,,,,,○
保育士 過去問（解説投稿型）,"SOCIAL NOTE CO., LTD.",Education,4.5654,4878,0.0,2020-03-03,2026-05-13,保育士/暗記/過去問,,,,,,,,,,,,,○,,,,,
Cambly (キャンブリー) オンライン英会話,"Cambly, Inc.",Education,4.57104,4807,0.0,2012-10-09,2026-07-29,TOEFL,,,,,,,,,,,,,○,,,,,
Drops: 英語学習・英単語ゲーム・英文法 アプリ,PLANB LABS OU,Education,4.50729,4798,0.0,2014-11-15,2026-07-08,英単語,,,,,,,,○,,,,,,,,,,
YPT - スタディーグループ,UnCheon Baek,Education,4.62855,4722,0.0,2018-11-17,2026-07-28,勉強タイマー,,,,,,○,○,,,,○,,,,,,,
英会話・英単語・リスニング・スピーキング英語アプリ-Epop,EpopSoft Inc.,Education,4.44661,4664,0.0,2020-11-25,2026-07-09,TOEFL/単語帳/英単語/英検,○,○,○,○,,,,○,,,○,,,,,,○,
英語ラジオ - アイエルツ トーフル,Liang Yuan,Education,4.59858,4661,0.0,2013-10-18,2026-03-16,TOEFL/TOEIC/検定,,,,,,,,,,,,○,○,,,,,
単語帳アプリ 単語帳メーカー,AppRuns inc.,Education,4.60494,4660,0.0,2016-07-06,2024-10-28,フラッシュカード/単語帳/暗記,○,,,,,,,,,,,,,,,,,
勉強時間記録,WEBDIA INC.,Education,4.51401,4605,0.0,2022-09-18,2026-07-28,勉強タイマー/学習記録,,○,,,,○,○,,,,,,,,,,,
すごい暗記帳  -画像からAIが問題作成-,Tanology Inc.,Education,4.62301,4467,0.0,2023-06-08,2026-07-28,単語帳/暗記,○,,,,,,,,,,,,,,,,,
生物の王様-高校生物・生物基礎・中学理科の問題集&勉強アプリ,HANAUTA INC.,Education,4.59886,4370,0.0,2021-01-20,2026-07-23,危険物取扱者/教員採用試験/高卒認定,,,○,○,,,,○,,,,,,,,,,
スマホをやめれば魚が育つ｜レガシー,Takeshi Segawa,Education,4.43484,4328,0.0,2016-09-26,2026-04-15,勉強タイマー/数検,,,,,,,,,,,,○,,,,,,
脳トレ！大人の漢字ナンクロ,nullhouse Inc.,Education,4.20274,4311,0.0,2020-08-14,2025-11-23,漢検,,,,○,,,,,,,,,,,,,,
原付免許の王様 - バイク免許の学科試験 勉強＆問題集アプリ,HANAUTA INC.,Education,4.38907,4228,0.0,2012-04-04,2026-07-22,過去問,○,○,○,○,○,,,○,,○,,,,,,,,
計算力トレーニング - 小学生からできる計算脳トレ,Masaki Kanno,Education,4.3406,4219,0.0,2016-09-29,2026-05-04,数検,,,,,,,,○,,○,○,,,,,,,
DateClips,Mihiro Matsukawa,Productivity,4.60024,4125,0.0,2014-03-06,2026-07-18,学習記録,,,,,,,○,,,,,○,,,,,,
漢検漢字・漢字検定チャレンジ（2級から6級）,Trips LLC,Education,4.2958,4121,0.0,2015-04-11,2022-12-21,QC検定/検定/漢字検定/漢検,○,,,,,,,,,,,,,,,,,
究極英単語！TOEIC® 800点突破編,Wisdom Technology Inc.,Education,4.43097,4114,0.0,2014-05-05,2026-05-07,TOEIC/英単語,○,○,,,,,○,,,,,,,,,,,○
My単語帳 - 暗記や問題作成に使えるシンプルな単語帳アプリ,Masafumi Negishi,Education,4.68839,4095,0.0,2021-05-01,2026-06-21,スキマ時間 学習/一問一答/単語帳/学習記録,,,,,,,,,,,,,,,,,,○
介護福祉士 過去問(完全版),"SOCIAL NOTE CO., LTD.",Education,4.72065,4031,370.0,2021-08-30,2026-05-04,介護福祉士/暗記/看護師 国家試験/社会福祉士,,,○,,,,,,,,,,,,,,,
化学の王様-高校化学・化学基礎の暗記に最適な勉強アプリ,HANAUTA INC.,Education,4.5963,3998,0.0,2020-07-13,2026-07-29,一問一答/暗記,○,○,○,○,,,,○,,,,,,,,,,
英語辞書・国語辞典 Oxford Dictionary,"MobiSystems, Inc.",Reference,4.56369,3988,0.0,2015-06-26,2026-07-22,TOEFL,,,,,,,,,,,,,○,○,,,,○
激戦！英単語,Mindwalk Corp.,Education,4.64156,3970,0.0,2023-05-02,2026-06-06,TOEIC/英単語/英検,,,,,,,,,,,○,,,,,,,
最重要英単語 for the TOEIC®TEST,Minghua Hu,Education,4.37334,3908,0.0,2011-11-20,2026-06-07,TOEIC/英単語,○,○,,,,○,,,,,,,○,,,,,○
登録販売者　過去問完全解説,yuth inc.,Education,4.57524,3901,0.0,2020-12-04,2025-03-31,一問一答/暗記/登録販売者/資格 過去問,○,○,○,○,,○,,,,,,○,,,,,,
MOJi N1-日语能力考试文字词汇学习书(JLPT N1),MOJI K.K.,Reference,4.79161,3815,0.0,2014-11-23,2026-01-29,日本語能力試験,,,,,,,,,,,,,,,,,,
暗記マーカー,Akira Takahashi,Education,4.7434,3710,500.0,2011-10-04,2026-02-18,フラッシュカード/暗記,,○,,,,,,○,,,,,,,,,,○
MyET My English Tutor,L Labs Inc.,Education,3.9125,3680,0.0,2013-12-14,2026-01-05,TOEFL/TOEIC,,,,,,,,,,,,,,,,,,
俺の電工1種 - 第一種電気工事士の筆記試験アプリ,Keiichi Yamaguchi,Education,4.67929,3642,0.0,2019-11-14,2025-03-14,電気工事士/電験三種,,○,,○,○,,,,,,,,,,,,,
化学 センター試験対策 問題集,satoru yasuda,Education,4.71594,3619,0.0,2018-04-22,2019-04-07,一問一答/試験対策,,,○,○,,,,○,,,,,,,,,,
プレスタパーク！勉強苦手な子どもが夢中になれる,"Fantamstick, Ltd.",Education,4.31039,3531,0.0,2017-09-06,2022-04-04,暗記,○,○,,,,,,,,,,,,,,,○,
LearnEnglish 英文法,British Council,Education,4.39348,3464,0.0,2012-03-19,2024-08-15,TOEFL,,,,,,,,,,,○,,,,,,,
漢検準1級 - 漢字検定対策問題集,kenji uchi,Education,4.6287,3442,0.0,2020-12-05,2026-04-20,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,
音読メーター,Kazuya Muto,Education,3.43843,3435,0.0,2019-02-15,2026-07-17,英検,,,,,,○,,,,,○,,,,,,,
翻訳王Pro - 翻訳カメラアプリ,MONOPOLEAPPS K.K.,Reference,4.21874,3415,7200.0,2017-06-13,2024-01-21,TOEIC,,,,,,,,,,,,,,,,,,○
パブロフ簿記２級商業簿記lite,yudai yoseda,Education,4.63428,3396,0.0,2011-10-13,2026-04-03,日商簿記/簿記,○,○,○,○,○,,,,,○,,,,○,,,,
MOJiTest: 日语考级考研高考背词等级备考与词汇量测试,"MOJiTekku (Guangzhou) Co.,Ltd.",Education,4.64721,3393,0.0,2017-08-02,2026-07-22,日本語能力試験,,,,,,,,,,,,,,,,,,○
暗記カードと辞書,Kengo Kosakai,Education,4.70068,3371,0.0,2022-07-13,2026-07-26,フラッシュカード/単語帳/暗記,,,,,,,,,,,,,,,,,,○
AI英会話 ルーラ / Loora.AI チャットで英語学習,Loora A.I LTD,Education,4.81179,3358,0.0,2021-04-02,2026-07-08,TOEFL/英単語,,,,○,,,,,,,,,,,,,,○
英単語スペル3600 - ゲーム感覚の英単語勉強アプリ,"StudySwitch, Inc.",Education,4.55876,3327,0.0,2015-03-25,2025-10-15,英単語,,,,,,,,○,,,,,,,,,,
大きいタイマー & ストップウォッチ,俐 马,Productivity,4.42682,3266,0.0,2017-11-01,2026-05-12,勉強タイマー,,,,,,,,,,,,○,,,○,,,
ペラペラ英会話（英語をフレーズで丸暗記する学習アプリ）,HANAUTA INC.,Education,4.13021,3164,0.0,2012-03-06,2025-06-16,一問一答/暗記,,,,,,,,○,,,,,,,,,,○
シャドテン - シャドーイングの添削・リスニング・英語学習,PROGRIT Inc.,Education,4.46332,3149,0.0,2021-08-11,2026-07-25,TOEIC,,○,,,,,,,,,,,,,,,,
勉強タイマー & 勉強時間 Focusi ポモドーロに有用,Jordan Holland,Productivity,4.49586,3140,0.0,2017-12-06,2025-07-09,勉強タイマー/学習記録,,,,,,○,○,,,,,○,,,○,,,
脳トレ！虫食い漢字クイズ,"StudySwitch, Inc.",Education,4.24205,3082,0.0,2012-02-23,2026-03-11,漢字検定,,,,,,,,,,,,,,,,,,
読めないと恥ずかしい脳トレ漢字クイズ,"StudySwitch, Inc.",Education,4.39593,3046,0.0,2012-08-15,2026-02-25,漢字検定,,,,,,,,,,,,,,,,,,
gogh ゴッホ - アバターと作業／勉強集中,"GOGH JAPAN, INC.",Productivity,4.14059,3023,0.0,2024-03-31,2026-06-09,勉強タイマー,,,,,,,,,,,,,○,,○,,○,
第二種電気工事士【過去問ドリル】-　解説付アプリ,DRILL LAB,Education,4.70092,3016,0.0,2021-10-18,2026-05-22,過去問/電気工事士,,,,,,○,,,,○,,,,,,,,
登録販売者 過去問 全問解説 - 独学TODAY,Trips LLC,Education,4.64004,2956,0.0,2022-05-25,2026-06-16,国家資格/登録販売者/資格/資格 過去問,○,,○,,○,,,,,○,,,,,,,,
漢検・漢字検定準1級 難読漢字クイズ,Flipout LLC,Education,4.53169,2919,0.0,2017-05-24,2025-12-19,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,
簿記2級 解説付き問題集,Trips LLC,Education,4.70697,2911,0.0,2024-07-28,2026-04-17,日商簿記/簿記/資格/資格 過去問,○,,○,,,,,,,,,,,,,,,
介護福祉士暗記カード+過去問 解説付,Grune Inc.,Education,4.37798,2881,0.0,2015-07-23,2026-07-02,TOEIC/介護福祉士/暗記/看護師 国家試験,○,○,○,○,○,,,,,,,,○,,,,,
Bluebird ポモドーロ 集中タイマー,CUB & PUP LLC,Productivity,4.70715,2841,0.0,2019-10-11,2026-07-25,勉強タイマー,,,,,,,,,,,,○,,,○,,,
中学生レベルの漢字テスト - 手書き漢字勉強アプリ,"StudySwitch, Inc.",Education,4.58084,2808,0.0,2018-04-22,2025-12-08,公務員試験,,,,,,,,,,,,,,,,,,
電験三種 法規科目 秒トレ｜第三種電気主任技術者 試験対策,GINOAPPS LLC.,Education,4.72436,2779,0.0,2020-12-07,2025-10-23,試験対策/過去問/電験三種,○,○,,○,,,,,,,,,,,,,,
公務員のライト - 公務員試験対策アプリ,AddMeta LLC,Education,4.76328,2767,0.0,2020-10-01,2026-07-26,公務員試験/宅建/試験対策,,,○,○,,,○,,,,,,,,,,,
Vulpe - 参考書を計画的に進める,UniLink Inc.,Education,4.78667,2761,0.0,2022-10-28,2026-07-22,TOEFL/学習記録,,,,,,○,,,,,,,,,,,,
LexicEN Lite 英英辞書、オフライン対応！,Till Knorr,Reference,4.50401,2736,0.0,2009-09-29,2018-09-23,TOEIC/英単語,,,,,,,,,,,,,○,○,,,,○
ポモドーロタイマー 勉強・仕事・作業用。シンプル集中タイマー,Ryunosuke Nagase,Productivity,4.74606,2670,0.0,2022-09-23,2026-02-16,勉強タイマー/学習記録,,,,,,,,,,,,○,,,○,,,
赤シート英単語 英文法/英会話/英検®/TOEIC,Ryu Komahashi,Education,4.44515,2635,0.0,2025-08-15,2026-07-29,TOEIC/単語帳/英単語/英検,○,,,○,,○,○,,○,,,○,,,,,,
基本情報技術者試験（科目A・科目B）全問解説,Trips LLC,Education,4.70734,2631,0.0,2022-09-21,2026-07-23,ITパスポート/一問一答/基本情報技術者/応用情報技術者,○,,○,,○,,,,,,,,,,,,,
社会福祉士 過去問(完全版),"SOCIAL NOTE CO., LTD.",Education,4.74245,2617,370.0,2021-08-31,2026-05-04,暗記/社会福祉士/過去問,,,○,,,,,,,,,,,,,,,
ロープの結び方 - ノット 3D (Knots 3D),David Boren,Reference,4.63643,2569,1000.0,2011-09-10,2026-06-21,消防設備士,,,,,,,,,,,,,○,,,,,
宅建 過去問 (解説と模試つき) 2026,"SOCIAL NOTE CO., LTD.",Education,4.59585,2556,0.0,2020-03-06,2026-05-04,宅建/宅建士/模試/過去問,,,○,,,,,,,○,,,○,,,,,
KORON,"TACHIBANA SHOBO CO.,LTD.",Education,4.63998,2511,0.0,2019-01-08,2026-07-22,公務員試験,○,○,,○,,○,,○,,,○,,,,,,,
電気工事士 第2種 2026,Trips LLC,Education,4.69675,2493,0.0,2023-03-27,2026-07-18,電気工事士,○,,○,,○,,,,,○,,,,,,,,
Weblio国語辞典 - 辞書や辞典を多数掲載,"GRAS Group, Inc.",Reference,4.47652,2491,0.0,2020-03-11,2026-07-12,数検,,,○,,,,,,,,,,○,,,,,○
究極英単語,Wisdom Technology Inc.,Education,4.30863,2469,0.0,2012-11-26,2026-04-28,英単語/英検,○,○,,○,,,○,,,,,,,,,,,○
世界史　流れで覚える一問一答,Masatomo Fukuda,Education,4.75416,2465,0.0,2022-03-23,2026-03-10,一問一答,○,○,○,○,,,,,,,,,,,,,,
ケアマネ 過去問(完全版),"SOCIAL NOTE CO., LTD.",Education,4.67705,2440,370.0,2021-08-31,2026-05-04,ケアマネジャー/介護福祉士/暗記/社会福祉士,,,○,,,,,,,,,,,,,,,
マナビジョン,Benesse Corporation,Education,3.2725,2433,0.0,2019-04-02,2026-07-27,模試,○,,,,,,○,,,○,,○,,,○,,,
自分で作る瞬間英作文 - TOEIC®・英会話のためのアプリ,masayoshi onuki,Education,4.54714,2429,0.0,2018-08-04,2026-05-26,TOEFL/TOEIC,,,,○,,,,,,,,,,,,,,
MOJi N2-「日本语能力测试」N2文字词汇对策,MOJI K.K.,Reference,4.77838,2414,0.0,2014-11-13,2026-01-29,日本語能力試験,,,,,,,,,,,,,,,,,,
高校英語 - 英文法・語法,MASATO MISAWA,Education,4.76517,2406,0.0,2022-02-12,2026-07-21,TOEFL/英単語,○,,,○,,,,,,,,,,,,,,
AlgoApp - フラッシュカード,AlgoApp Inc,Education,4.63105,2377,0.0,2013-09-15,2026-07-28,フラッシュカード,○,,,,,,,,,,,○,,○,,,,
コドモン - 保育園の連絡をアプリで簡単に,"CODMON, INC.",Education,2.55711,2364,0.0,2015-06-26,2026-07-16,保育士,,,,,,,○,,,,,,,,,,,
数学クイズ Make10,"StudySwitch, Inc.",Education,4.50893,2352,0.0,2014-05-29,2024-03-11,数検,,,,,,,,,,,,,,,,,,
クラウドプラクティショナー模擬試験アプリ,Naohito Muraoka,Education,4.5015,2341,0.0,2020-04-25,2026-06-20,AWS 認定/模試,,,○,○,,,,,,○,,,,,,,,
Japanese Dictionary - Nihongo,Serpenti Sei Japan LLC,Reference,4.71537,2340,0.0,2014-07-13,2026-07-13,フラッシュカード,,,,,,,,,,,,,,,,,,
英検準1級 英単語,"SOCIAL NOTE CO., LTD.",Education,4.5043,2326,0.0,2020-04-08,2026-06-15,単語帳/英単語/英検,,,,○,,○,,,,,,,,,,,,
LissN 日経のニュースを英語でリスニング,NIKKEI INC.,Education,4.43647,2298,0.0,2015-06-21,2026-04-13,TOEFL,,,,○,,○,,,,,,,○,,,,,○
Catch It English - 英語学習、語彙、英会話,"CatchItPlay, Inc.",Education,4.14254,2280,0.0,2014-06-22,2026-07-14,スキマ時間 学習,○,○,,,,,,,,,,,,,,,○,
動画＆全問解説のITパスポートアプリ-ITすきま教室,Osamu Nishiyama,Education,4.80202,2278,0.0,2021-10-03,2026-05-10,ITパスポート/日商簿記/資格 過去問/過去問,○,,○,○,,,,,,,,,,,,,,
政治経済の王様-高校・大学受験・共通テスト対策の勉強アプリ,HANAUTA INC.,Education,4.52796,2271,0.0,2021-01-19,2026-07-29,一問一答/公務員試験,,,○,○,,,,○,,,,,,,,,,
Yomiwa JP Dictionary（多言語辞書）,Nomad AI OU,Reference,4.69433,2241,0.0,2013-09-29,2026-07-19,フラッシュカード,,,,,,,,,,,,,○,○,,,,○
小学生英語ドリル - 英単語・英会話フレーズ,"StudySwitch, Inc.",Education,4.61143,2239,0.0,2022-08-01,2026-06-05,英単語,,,,,,,,,,,,,,,,,,
倫理の王様-公共 高校倫理を勉強する単語帳&問題集アプリ,HANAUTA INC.,Education,4.62108,2238,0.0,2021-01-17,2026-07-23,公務員試験/単語帳/教員採用試験,,,○,○,,,,○,,,,,,,,,,
すごい英単語帳！中学-高校-大学入試全範囲対応,Keiko Yukawa,Education,4.45913,2202,0.0,2017-11-25,2026-06-02,TOEIC/単語帳/英単語,,,,,,,,,,,,,,,,,,
わたしの写真暗記帳,Mikiko Tamagawa,Education,4.52682,2181,0.0,2018-04-27,2025-12-12,単語帳/暗記,,○,,○,,,,,,,,,,,,,,
CAB（WEB-CAB） 一問一答　適性試験対策問題集,yuth inc.,Education,4.68349,2180,0.0,2022-03-02,2026-04-22,一問一答/試験対策,○,○,○,○,,,,,,,○,○,,,○,,,
BoldVoice: 英語スピーキング練習・アクセント学習,Wellocution Inc.,Education,4.68015,2151,0.0,2021-06-17,2026-07-29,TOEFL,,,,,,,,,,,,,,,,,,
はじめてのTOEIC®問題集,"StudySwitch, Inc.",Education,4.65376,2143,0.0,2020-12-19,2025-12-17,TOEIC,,,,,,,,,,,,,,,,,,
実戦漢検 2級・準2級・3級,Trips LLC,Education,4.57264,2120,0.0,2016-09-20,2022-12-18,模試/漢字検定/漢検,,,,,○,,,,,○,,,,,,,,
メンタルヘルス・マネジメント検定試験® Ⅱ種 秒トレ,GINOAPPS LLC.,Education,4.53324,2106,0.0,2021-09-04,2026-07-14,QC検定/メンタルヘルスマネジメント/検定/社会福祉士,○,,,○,○,,,,,,,,,,,,,
行政書士 秒トレ：2026年度(令和8年度)法改正対応,GINOAPPS LLC.,Education,4.63733,2068,0.0,2022-05-16,2026-06-27,中小企業診断士/公務員試験/司法書士/行政書士,○,,,○,○,,,,,,,,,,,,,
基礎から学ぶ瞬間英作文・文法,takeshi inoue,Education,4.39079,2042,0.0,2019-03-13,2026-07-19,TOEIC,○,,○,,,,,○,,,,,,,,,,○
烧饼日语: 日语实力测定考试备考助手,江 戴,Education,4.79765,2041,0.0,2018-04-29,2026-07-27,フラッシュカード,,,,,,,,,,,,,,,,,,
いちばんやさしい 基本情報技術者 絶対合格の過去問集,TEKUTEKU K.K.,Education,4.80629,2003,0.0,2024-09-24,2026-05-22,ITパスポート/TOEIC/基本情報技術者/応用情報技術者,,,○,,,○,,,,,,,○,,,,,○
英検®準1級よく出る英単語2000,"StudySwitch, Inc.",Education,4.66186,1943,0.0,2023-03-27,2026-05-30,TOEFL/英単語/英検,,,,,,,,,,,,,,,,,,○
パブロフ簿記２級工業簿記,ATSUKO YOSEDA,Education,4.69285,1934,800.0,2012-03-03,2026-04-03,日商簿記/簿記,,○,○,○,,,,,,○,,,,,,,,
nemo タガログ語,Nemo Apps LLC,Education,4.28332,1913,0.0,2013-07-29,2018-12-11,単語帳,○,,,,,,,,,,,,○,,,,,○
国語(現代文)の王様-中学・高校国語の問題集＆勉強アプリ,HANAUTA INC.,Education,4.65082,1893,0.0,2021-10-25,2026-07-23,教員採用試験,,,○,○,,,,○,,,,,,,,,,
宅建士 秒トレ：2026年度 宅建（宅地建物取引士）試験対策,GINOAPPS LLC.,Education,4.66932,1887,0.0,2022-11-21,2026-07-25,一問一答/宅建/宅建士/暗記,○,,,○,○,,,,,,,,,,,,,
素数あつめ,Ninicode Inc.,Education,4.86908,1879,0.0,2019-11-20,2026-02-07,数検,,,,,,,,,,,,,,,,,,
基本情報技術者試験問題集,Maiji Saito,Education,4.63015,1844,0.0,2013-10-22,2026-04-06,ITパスポート/基本情報技術者/応用情報技術者/情報セキュリティマネジメント,○,○,○,○,,,,,,,,,○,,,,,
高校 生物 一問一答＆演習問題,"StudySwitch, Inc.",Education,4.70408,1791,0.0,2023-06-19,2025-11-18,一問一答,,,,,,,,,,,,,,,,,,
登録販売者 過去問・一問一答 2026年 資格試験 くま登販,"HOPSTEP, LIMITED LIABILITY COMPANY",Education,4.63523,1782,0.0,2024-06-10,2026-07-28,TOEIC/スキマ時間 学習/学習記録/暗記,○,○,○,○,○,○,,,,,,○,,,,,,
百词斩-学英语、背单词必备,"Chengdu Chaoaixuexi Technology Co, Ltd",Education,4.76447,1762,0.0,2012-09-25,2026-07-20,TOEIC/英単語/英検,,,,,,,,,,,,,,,,,,
全問解説付 第2種電気工事士 筆記 一問一答問題集,Tokyo Interactive,Education,4.6124,1757,0.0,2015-03-04,2025-09-30,建築士/施工管理技士/消防設備士/電気工事士,,,○,,,,,,,,,,,,,,,
精神保健福祉士 過去問（模試機能つき),"SOCIAL NOTE CO., LTD.",Education,4.64672,1755,0.0,2020-02-23,2026-05-04,模試/精神保健福祉士/過去問,,,○,,,,,,,,,,○,,,,,
漢検2級 出る順問題集 - 漢字検定対策アプリ,kenji uchi,Education,4.63475,1744,0.0,2024-08-20,2026-04-10,QC検定/検定/漢字検定/漢検,,,,,,,,,,,,,,,,,,○
